Gitter_ID_1km *;x_mp_1km_1;y_mp_1km_1;Einwohner;Alter_D;unter18_A;ab65_A;Auslaender_A;HHGroesse_D;Leerstandsquote;Wohnfl_Bew_D;Wohnfl_Whg_D
1kmN3367E4314;4314500;3367500;3;-9;0;0;0;-1;-1;-9;-1
1kmN3372E4331;4331500;3372500;3;-9;0;100;0;-1;-1;-9;-1
1kmN3378E4315;4315500;3378500;3;-9;0;0;0;-1;-1;-9;-1
1kmN3379E4316;4316500;3379500;3;-9;0;0;100;-1;-1;-1;-1
1kmN3379E4335;4335500;3379500;7;-9;-9;0;57.14;1.4;-1;-1;-1
1kmN3380E4319;4319500;3380500;3;-9;0;0;0;1;-1;-1;-1
1kmN3389E4306;4306500;3389500;3;-9;0;0;0;1;0;83;83
1kmN3389E4333;4333500;3389500;29;-9;24.14;-9;-9;2.4;0;-9;-9
1kmN3400E4326;4326500;3400500;13;-9;0;-9;-9;2.3;-9;-9;-9
1kmN3365E4337;4337500;3365500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4315;4315500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4317;4317500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4332;4332500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3369E4312;4312500;3369500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3369E4332;4332500;3369500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4337;4337500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4338;4338500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4342;4342500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4309;4309500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4334;4334500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4337;4337500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4338;4338500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4342;4342500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4309;4309500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4314;4314500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4322;4322500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4327;4327500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4340;4340500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3373E4335;4335500;3373500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4315;4315500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4317;4317500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4318;4318500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4319;4319500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4307;4307500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4308;4308500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4310;4310500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4314;4314500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4315;4315500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4318;4318500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4319;4319500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4307;4307500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4308;4308500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4309;4309500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4310;4310500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4311;4311500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4317;4317500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4318;4318500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4331;4331500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4305;4305500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4306;4306500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4307;4307500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4308;4308500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4314;4314500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4315;4315500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4316;4316500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4317;4317500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4327;4327500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4305;4305500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4310;4310500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4311;4311500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4312;4312500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4313;4313500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4314;4314500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4316;4316500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4317;4317500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4324;4324500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4330;4330500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4314;4314500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4315;4315500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4317;4317500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4318;4318500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4308;4308500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4309;4309500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4314;4314500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4315;4315500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4316;4316500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4317;4317500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4318;4318500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4320;4320500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4321;4321500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4307;4307500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4308;4308500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4309;4309500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4313;4313500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4321;4321500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4306;4306500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4307;4307500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4308;4308500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4303;4303500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4304;4304500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4330;4330500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4331;4331500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3386E4334;4334500;3386500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4306;4306500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4307;4307500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4334;4334500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3388E4306;4306500;3388500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3389E4304;4304500;3389500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3389E4305;4305500;3389500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4304;4304500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4305;4305500;3390500;-1;-1;-1;-1;-1;-1;-1;-9;-1
1kmN3390E4324;4324500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4334;4334500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4335;4335500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3391E4320;4320500;3391500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3391E4335;4335500;3391500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3400E4331;4331500;3400500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3400E4333;4333500;3400500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4329;4329500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4330;4330500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4331;4331500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4332;4332500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4333;4333500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3402E4332;4332500;3402500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3402E4333;4333500;3402500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4318;4318500;3377500;4;23.8;0;0;0;1.33;0;-1;0
1kmN3379E4320;4320500;3379500;111;27.5;36.04;2.7;64.86;4;0;20;-9
1kmN3375E4317;4317500;3375500;17;28;-9;0;-9;3.4;0;-9;-9
1kmN3375E4330;4330500;3375500;3843;30.1;31.49;3.6;14.7;2.9;0.7;28.4;77
1kmN3374E4307;4307500;3374500;391;30.7;27.11;4.6;8;2.8;0;43;116
1kmN3373E4329;4329500;3373500;10;31;40;0;0;3.33;0;-9;-9
1kmN3377E4319;4319500;3377500;39;31;20.51;0;41.03;2;0;-9;-9
1kmN3375E4331;4331500;3375500;7778;31.2;27.6;4.94;20;2.54;0.4;28.5;74
1kmN3392E4333;4333500;3392500;890;31.68;37.75;6.07;3.15;3.31;1.08;43;-9
1kmN3374E4308;4308500;3374500;188;31.9;32;6.91;11.7;2.7;0;27;73
1kmN3371E4310;4310500;3371500;4;32;0;0;0;-1;-1;26.25;-1
1kmN3379E4322;4322500;3379500;4140;32.86;22.85;7.56;45.7;2.4;1.8;26;59
1kmN3388E4333;4333500;3388500;919;33.2;28.9;9.03;20.8;2.5;1;27;66
1kmN3378E4319;4319500;3378500;1868;33.95;20.29;6.7;32.28;2;4.8;31.6;59
1kmN3386E4306;4306500;3386500;226;34;15.49;2.65;80;-1;-1;-1;-1
1kmN3382E4329;4329500;3382500;1012;34.3;23.1;8.6;40.12;2.83;1.29;33;94
1kmN3373E4334;4334500;3373500;588;34.37;20;10.4;58;1.92;0;44;-9
1kmN3374E4331;4331500;3374500;1106;34.8;25.5;3.8;7.2;3.36;0;35.7;119.4
1kmN3375E4322;4322500;3375500;5943;34.95;28.12;12.54;30.2;2.66;0.3;28.1;73
1kmN3374E4323;4323500;3374500;122;35;25.41;9.84;10;2.8;0;38;102
1kmN3378E4320;4320500;3378500;9899;35;20.79;9.23;37.21;2.08;4.4;28;55
1kmN3403E4332;4332500;3403500;7;35;-9;0;0;2;0;-9;-9
1kmN3377E4321;4321500;3377500;3786;35.2;24.25;12.2;50.7;2.4;0.9;26;61.5
1kmN3379E4306;4306500;3379500;2010;35.2;27.21;12.2;29;2.76;4;32.2;84
1kmN3382E4322;4322500;3382500;1869;35.2;7.49;7.6;30.2;1.9;2.3;40.7;64
1kmN3388E4304;4304500;3388500;5;35.2;-9;0;0;-1;-1;-9;-1
1kmN3379E4321;4321500;3379500;1492;35.49;12.06;6.64;50;1.72;3.16;29;49
1kmN3372E4320;4320500;3372500;959;35.54;12.62;14.6;40;2.1;0;32;-9
1kmN3374E4322;4322500;3374500;401;35.55;24.19;12.22;28;2.73;0;29;-9
1kmN3389E4332;4332500;3389500;2814;35.56;27.58;11.41;6.8;2.74;0.97;35;95
1kmN3374E4310;4310500;3374500;21;35.7;23.81;14.29;0;3;0;41;-9
1kmN3385E4306;4306500;3385500;696;35.7;31.47;10.34;4.89;2.91;1;41;-9
1kmN3396E4323;4323500;3396500;2664;35.79;24;8.63;10.2;2.4;1.32;34.34;81.2
1kmN3383E4319;4319500;3383500;3818;35.8;16.55;7.9;25.5;1.94;4.5;34.34;60
1kmN3377E4313;4313500;3377500;5;36;0;0;0;3;0;-9;-9
1kmN3378E4323;4323500;3378500;6;36;0;0;-9;-1;-1;-1;-1
1kmN3380E4332;4332500;3380500;11;36;27.27;0;0;4;0;-9;-9
1kmN3381E4322;4322500;3381500;165;36;11.52;9.09;43.64;1.7;8.42;36.8;55
1kmN3395E4333;4333500;3395500;65;36;30.77;6.15;4.62;2.48;0;32;88
1kmN3373E4319;4319500;3373500;578;36.2;16.09;7.09;42;2.2;3;31;62
1kmN3379E4319;4319500;3379500;684;36.3;17.4;7.02;49;2.15;2;27;-9
1kmN3380E4328;4328500;3380500;3456;36.39;21.8;12.3;36.2;1.95;1.44;31;58
1kmN3375E4311;4311500;3375500;96;36.5;25;12.5;5.21;3;0;40;-9
1kmN3375E4313;4313500;3375500;314;36.5;23.57;6.37;8;3.12;0;33;-9
1kmN3400E4327;4327500;3400500;660;36.58;28.94;11.06;2.27;3;1.83;39;114
1kmN3369E4338;4338500;3369500;23;36.7;30.43;13.04;0;3.29;0;42;-9
1kmN3378E4332;4332500;3378500;3036;36.73;26.42;11.4;8.7;3.12;0.9;36.8;111
1kmN3382E4321;4321500;3382500;2762;36.8;6.5;5.7;23.5;1.8;4.66;39;-9
1kmN3378E4328;4328500;3378500;318;36.82;0;1.26;43;-1;-1;-1;-1
1kmN3369E4311;4311500;3369500;22;37;18.18;0;0;1.8;0;-9;-9
1kmN3373E4315;4315500;3373500;63;37;28.57;17.46;30;3;-9;37;-9
1kmN3374E4338;4338500;3374500;41;37;24.39;17.07;0;3.1;-9;38;90
1kmN3379E4305;4305500;3379500;61;37;22.95;14.75;18.03;3;0;38;-9
1kmN3379E4324;4324500;3379500;12;37;25;0;33.33;3;0;-9;-9
1kmN3381E4323;4323500;3381500;1262;37;16.01;11.09;30.03;1.87;4.8;30;52
1kmN3386E4307;4307500;3386500;657;37;26.94;11.42;7;2.54;1.95;39;-9
1kmN3398E4328;4328500;3398500;327;37.1;24.46;11.01;3;3.04;3;50;-9
1kmN3383E4316;4316500;3383500;7509;37.2;13.13;7.8;12.5;1.74;1.49;37;61
1kmN3383E4317;4317500;3383500;11198;37.28;15.35;9.43;17.5;1.88;1.9;34;62
1kmN3368E4319;4319500;3368500;1587;37.4;22.8;14.5;22.9;2.21;2.1;38;81
1kmN3383E4329;4329500;3383500;1527;37.4;24.36;11.85;11.53;2.69;0;34.2;91
1kmN3378E4321;4321500;3378500;277;37.42;15.88;11.55;25.63;2.71;5.22;-9;-9
1kmN3396E4328;4328500;3396500;1730;37.42;28.03;13.7;2.1;2.65;0.7;42;110
1kmN3374E4332;4332500;3374500;5574;37.46;20.52;8.5;6.7;2.67;0;34;90
1kmN3390E4315;4315500;3390500;2972;37.53;25.27;14.47;20.02;2.5;0.9;33;81
1kmN3384E4316;4316500;3384500;2828;37.6;10.47;9.05;14.1;1.65;0.82;34;-9
1kmN3380E4322;4322500;3380500;272;37.7;12.13;9.56;17.28;1.5;8.81;36;48
1kmN3382E4318;4318500;3382500;14624;37.79;12.2;9.54;19.4;1.76;1.9;35.7;59
1kmN3373E4318;4318500;3373500;6205;37.8;18.7;14.5;20.5;1.94;1.6;32;60
1kmN3395E4320;4320500;3395500;2662;37.8;24.27;13;16.3;2.5;0.9;33;81
1kmN3389E4324;4324500;3389500;9662;37.89;23.34;14.66;22.7;2.32;0.2;32.54;75
1kmN3379E4331;4331500;3379500;3314;37.9;23.69;15;17.8;2.56;0.3;31.1;79
1kmN3380E4307;4307500;3380500;52;37.9;23.08;11.54;19.23;3;0;-9;-9
1kmN3385E4329;4329500;3385500;5492;37.9;22.31;14.6;18.75;2.31;0.69;31;70
1kmN3383E4318;4318500;3383500;14606;37.92;15.17;10.67;17.2;1.88;1.4;36;58
1kmN3369E4342;4342500;3369500;18;38;16.67;16.67;0;2.5;0;-9;-9
1kmN3374E4320;4320500;3374500;30;38;16.67;-9;36.67;2.4;-1;-1;-1
1kmN3375E4316;4316500;3375500;350;38;21;9;5;2.6;7.6;37;89
1kmN3388E4307;4307500;3388500;28;38;0;-9;-9;5;0;-9;-9
1kmN3400E4332;4332500;3400500;3;38;0;0;0;-1;-1;-9;-1
1kmN3373E4321;4321500;3373500;307;38.02;25.73;14;12.7;2.7;2;-9;-9
1kmN3393E4333;4333500;3393500;2606;38.07;23.98;11.8;7.94;2.43;0.6;36;87
1kmN3399E4328;4328500;3399500;2554;38.07;27.02;15.54;7.83;2.7;1.7;42.9;112
1kmN3371E4319;4319500;3371500;6401;38.08;16.87;14.06;25.8;1.83;2.2;32;56
1kmN3366E4336;4336500;3366500;57;38.1;26.32;17.54;2;2.71;0;-9;-9
1kmN3374E4335;4335500;3374500;799;38.1;19.02;11.51;9.6;2.1;1;37;68
1kmN3376E4321;4321500;3376500;5961;38.16;23.37;16.9;30.41;2.5;0.7;26.9;65
1kmN3380E4323;4323500;3380500;3375;38.17;18.58;13.63;23.4;2.11;1;30;60
1kmN3379E4309;4309500;3379500;99;38.19;24.24;15.15;10;2.9;0;44;126
1kmN3374E4309;4309500;3374500;705;38.2;21;12.34;12;2.6;0;32;83
1kmN3378E4331;4331500;3378500;2100;38.2;24.1;12.86;8.3;2.8;1.2;42;111
1kmN3381E4324;4324500;3381500;513;38.2;17.15;12.87;10.72;2;0;35;63
1kmN3372E4319;4319500;3372500;10135;38.24;14.11;13.7;22.9;1.75;1.8;34.49;57.7
1kmN3386E4310;4310500;3386500;1926;38.25;24.2;18.54;16.6;2.4;0.62;31;75
1kmN3388E4332;4332500;3388500;4287;38.28;23.58;15.23;12.8;2.28;0.9;33;74
1kmN3370E4341;4341500;3370500;256;38.3;21.88;11;2;2.7;3;46;-9
1kmN3378E4322;4322500;3378500;839;38.3;17.4;12.87;18.47;2.3;2;30;-9
1kmN3378E4329;4329500;3378500;163;38.3;23.93;16.56;3.07;2.5;0;-9;-9
1kmN3374E4327;4327500;3374500;191;38.39;21.47;14.66;10.47;3;0;37;-9
1kmN3375E4333;4333500;3375500;3667;38.43;20.94;13.6;21;2.24;0.9;34;75
1kmN3371E4320;4320500;3371500;5643;38.5;17.5;14.1;28;1.88;2.6;34;61
1kmN3370E4327;4327500;3370500;43;38.51;25.58;16.28;5;2.2;0;46;-9
1kmN3381E4327;4327500;3381500;6717;38.51;19.1;14.1;29.1;2.04;1.99;30.2;58
1kmN3371E4339;4339500;3371500;98;38.52;24.49;15.31;2;2.5;0;45;108
1kmN3393E4315;4315500;3393500;4628;38.54;22.23;13.48;8.8;2.44;0.7;37;89
1kmN3393E4330;4330500;3393500;737;38.6;25.92;15.1;22;2.68;2.67;51;-9
1kmN3382E4323;4323500;3382500;2372;38.7;7;10.7;26.1;1.6;0.7;35.5;55
1kmN3377E4320;4320500;3377500;6475;38.71;21.98;17.34;31;2.18;7.9;28.3;56.1
1kmN3380E4330;4330500;3380500;8088;38.74;22.11;15.21;25.98;2.34;0.6;31;72
1kmN3390E4329;4329500;3390500;5693;38.8;21.66;16.02;13.3;2.16;0.8;32.9;70
1kmN3373E4322;4322500;3373500;100;38.88;18;14;3;2.2;0;43;-9
1kmN3382E4316;4316500;3382500;13401;38.9;15.48;10.84;13.07;1.88;2.3;38;68
1kmN3368E4338;4338500;3368500;251;38.92;24.7;16.33;1;2.6;0;-9;-9
1kmN3376E4315;4315500;3376500;59;39;16.95;11.86;6.78;1.9;0;43;80
1kmN3381E4316;4316500;3381500;183;39;1;1;91.8;1.89;25;-9;-9
